restaurant_name,address,price_level,parking_available,review_score,restaurant_type,num_ratings,price_low,price_high,price_mid,parking_free_street_parking,parking_free_parking_lot,parking_parking,parking_paid_street_parking,parking_paid_parking_lot,parking_on_site_parking,parking_valet_parking,parking_free_parking_garage,has_free_parking,city,state,zip
Valentino's Pizzeria,"13567 Main St, Hesperia, CA 92345",$10–20,Free parking lot|Free street parking|Parking,4.2,pizza restaurant,769,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Hesperia,CA,92345
Marina Cafe,"720 Peninsula Rd, Wilmington, CA 90744",$10–20,Free parking lot|Free street parking|Parking,4.7,american restaurant,289,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Wilmington,CA,90744
Yigah Restaurant,"2750 Alton Pkwy, Irvine, CA 92606",$20–30,Free parking lot|Free street parking|Parking,4.2,korean restaurant,409,20,30,25,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Irvine,CA,92606
Jeff's Inviting Food and Spirits,"1904 N Tustin St, Orange, CA 92865",$50–100,Free parking lot|Free street parking,4.7,restaurant,150,50,100,75,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Orange,CA,92865
El Infierno Restaurant,"12130 Long Beach Blvd, Lynwood, CA 90262",$10–20,Free parking lot|Free street parking,4.1,mexican restaurant,764,10,20,15,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Lynwood,CA,90262
Teriyaki House,"1415 W Arrow Hwy, San Dimas, CA 91773",$10–20,Free parking lot|Free street parking|Parking,4.8,asian fusion restaurant,233,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,San Dimas,CA,91773
Anna's Pizza,"1240 Lakes Dr, West Covina, CA 91790",$10–20,Free parking lot|Free street parking|Parking,4.4,pizza restaurant,390,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,West Covina,CA,91790
McDonald's,"143 Ammunition Rd, Fallbrook, CA 92028",$1–10,Free parking lot|Free street parking|Parking,3.4,fast food restaurant,847,1,10,5.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Fallbrook,CA,92028
Far Western Tavern,"300 E Clark Ave, Orcutt, CA 93455",$30–50,Free parking lot|Free street parking|Parking,4.4,californian restaurant,695,30,50,40,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Orcutt,CA,93455
Sabroso Restaurante,"23611 Terra Bella Ave, Terra Bella, CA 93270",$10–20,Free parking lot|Free street parking|Parking,4.4,mexican restaurant,242,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Terra Bella,CA,93270
The Southern Pacific Depot,"207 E Oak Ave, Visalia, CA 93291",$$$,,4.3,californian restaurant,127,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Visalia,CA,93291
Salles Café,"2082 N J St, Tulare, CA 93274",$10–20,Free parking lot|Parking,4.6,cafe,458,10,20,15,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Tulare,CA,93274
Ortega's Taqueria,"1361 I St, Reedley, CA 93654",$10–20,Free parking lot|Free street parking|Parking,4.2,mexican restaurant,799,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Reedley,CA,93654
The Hideout Kitchen,"32 Lafayette Cir, Lafayette, CA 94549",$20–30,Free parking lot|Free street parking|Paid parking lot|Paid street parking|Parking,4.5,american restaurant,1135,20,30,25,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Lafayette,CA,94549
Saison,"178 Townsend St, San Francisco, CA 94107",$100+,Paid parking garage|Paid street parking,4.5,new american restaurant,633,100,100,100,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,San Francisco,CA,94107
Brooklyn City Pizzeria & Market,"30012 Crown Valley Pkwy suite l, Laguna Niguel, CA 92677",$10–20,Free parking lot|Free street parking|Parking,4.8,pizza restaurant,354,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Laguna Niguel,CA,92677
Earth Kandee,"2280 E Main St, Ventura, CA 93001",,Free street parking,5,health food store,7,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Ventura,CA,93001
Eat Shasta,"1968 Carleton St, Redding, CA 96002",,,5,restaurant,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Redding,CA,96002
Studio Collab Interior Design,"62072 Valley View Cir, Joshua Tree, CA 92252",,,,interior designer,0,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Joshua Tree,CA,92252
Paella-inthedez,,,,5,personal chef service,6,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Diamond Bites Restaurant & Catering,"2010 Crow Canyon Pl # 115, San Ramon, CA 94583",$10–20,Free parking lot|Free street parking,4.3,restaurant,29,10,20,15,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,San Ramon,CA,94583
The Ville Co,"100 Ericson Ct Unit 100F, Arcata, CA 95521",,,5,restaurant,4,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Arcata,CA,95521
Tahoe Mountain Private Chef,,,,5,personal chef service,17,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Rickshaw Food Delivery Service,"32145 Alvarado-Niles Rd #201, Union City, CA 94587",,Free street parking,5,delivery service,6,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Union City,CA,94587
