data-page-selector,full_address,County,Property Type,Subtype,Tenancy,Total Building SqFt,Total Building Suites,has_parking,Vacant SqFt
https://www.crexi.com/lease/properties/158744/california-175-e-20th-st,"175 E 20th Street, Chico, CA 95928",Butte County,"Industrial, Restaurant","Flex, Strip Center",Multiple,"7,753",1,FALSE,"7,753"
https://www.crexi.com/lease/properties/329173/california-los-alamitos-plaza,"10900 Los Alamitos Boulevard, Los Alamitos, CA 90720",Orange County,"Office, Restaurant","Executive Office, Commercial",Multiple,"77,533",,FALSE,"7,032"
https://www.crexi.com/lease/properties/795755/california-marina-boardwalk,"4655 Admiralty Way, Marina del Rey, CA 90292",Los Angeles County,"Office, Restaurant","Executive Office, Commercial",Multiple,"28,519",,TRUE,"27,846"
https://www.crexi.com/lease/properties/481787/california-4090-truxel-road,"4090 Truxel Rd, Sacramento, CA 95834",Sacramento County,"Office, Restaurant",Executive Office,Multiple,"2,512",,FALSE,"2,512"
https://www.crexi.com/lease/properties/935428/california-130-pine-ave,"130 Pine Ave, Long Beach, CA 90802",,"Office, Restaurant",Creative Office,Multiple,"28,368",5,FALSE,"26,333"
https://www.crexi.com/lease/properties/125956/california-2400-fenton-street,"2400 Fenton St, Chula Vista, CA 91941",San Diego County,"Office, Restaurant","Traditional Office, Executive Office, Coworking, Creative Office, Professional Office, Shopping Center",Multiple,994,,TRUE,242
https://www.crexi.com/lease/properties/404591/california-commerce-commons,"4820 S Eastern Ave, Commerce, CA 90040",Los Angeles County,"Office, Restaurant","Traditional Office, Executive Office, Flex Space",Multiple,1,,TRUE,"4,265"
https://www.crexi.com/lease/properties/101404/california-2525-camino-del-rio-south,"2525 Camino del Rio S, San Diego, CA 92108",San Diego County,"Office, Restaurant","Executive Office, Traditional Office, Commercial",Multiple,"16,080",,TRUE,"1,246"
https://www.crexi.com/lease/properties/97891/california-1125-wall-street,"1125 Wall Street, La Jolla, CA 92037",San Diego County,"Office, Restaurant",Storefront,Multiple,0,,FALSE,"4,005"
https://www.crexi.com/lease/properties/53823/california-the-heart-of-huntingt-on-park,"6001-6021 Pacific Blvd, Huntington Park, CA 90255",Los Angeles County,"Office, Restaurant","Medical Office, Strip Center",Multiple,"37,720",,TRUE,"8,265"
https://www.crexi.com/lease/properties/360502/california-22141-ventura-blvd,"22141 Ventura Blvd, Woodland Hills, CA 91364",Los Angeles County,"Office, Restaurant","Executive Office, Commercial",Multiple,"18,354",,FALSE,"3,414"
https://www.crexi.com/lease/properties/118880/california-sherman-square,"7203 Van Nuys Blvd, Los Angeles, CA 91405",,"Office, Restaurant","Executive Office, Creative Office, Strip Center, Traditional, Retail, Restaurant",Multiple,,,TRUE,"1,716"
https://www.crexi.com/lease/properties/359242/california-pacific-pointe,"879 West 190th Street, Gardena, CA 90248",Los Angeles County,"Office, Restaurant",Traditional Office,Multiple,"107,855",,FALSE,"102,167"
https://www.crexi.com/lease/properties/59186/california-the-carrillo-building,"931 State St, Santa Barbara, CA 93101",,"Office, Restaurant, Retail","Executive Office, Traditional Office, Boutique Retail",Multiple,0,,FALSE,"1,402"
https://www.crexi.com/lease/properties/946692/california-former-kabob-land-restaurant,"947 W Olive Ave, Porterville, CA 93257",,"Office, Restaurant, Special Purpose","Traditional Office, Creative Office, Kitchen",Single,"3,525",,TRUE,"1,411"
https://www.crexi.com/lease/properties/915229/california-12195-tributary-point-drive-suite-100,"12195 Tributary Point Dr, Rancho Cordova, CA 95670",,Restaurant,,Single,"1,550",,FALSE,"1,550"
https://www.crexi.com/lease/properties/1049320/california-3231-mission-blvd,"3231 Mission Blvd, San Diego, CA 92109",San Diego County,Restaurant,N/A,Multiple,,,FALSE,"1,325"
https://www.crexi.com/lease/properties/1038674/california-110-n-el-camino-real,"110 N El Camino Real, San Clemente, CA 92672",,Restaurant,Restaurant,Multiple,"11,047",,TRUE,"6,998"
https://www.crexi.com/lease/properties/1010424/california-2nd-generation-restaurant-space-no-key-money-upland-ca,"733 N Mountain Ave, Upland, CA 91786",,Restaurant,Retail,Single,"2,642",,TRUE,"2,642"
https://www.crexi.com/lease/properties/1038660/california-the-heisler-building,"400 S Coast Hwy, Laguna Beach, CA 92651",Orange County,Restaurant,Restaurant,Multiple,"16,000",,FALSE,"15,347"
https://www.crexi.com/lease/properties/975752/california-turn-key-restaurant,"2015 Lafayette St, Santa Clara, CA 95050",Santa Clara County,Restaurant,Retail,Single,"16,552",,TRUE,"2,500"
https://www.crexi.com/lease/properties/1049116/california-880-de-long-avenue,"880 De Long Ave, Novato, CA 94945",,Restaurant,Restaurant,Single,"1,800",,TRUE,"1,800"
https://www.crexi.com/lease/properties/665728/california-hemet-ca---drive-thru-pad,"2880 W Florida Ave, Hemet, CA 92545",Riverside County,Restaurant,Drive Thru,Single,"2,561",,FALSE,"2,561"
https://www.crexi.com/lease/properties/1002507/california-10478-valley-blvd,"10478 Valley Blvd, El Monte, CA 91731",,Restaurant,"Restaurant, Buffet Restaurant, Large Diner",Single,"12,703",,FALSE,"12,703"
https://www.crexi.com/lease/properties/894635/california-2000-de-la-vina-restaurant-space,"2000 De La Vina St, Santa Barbara, CA 93105",,Restaurant,Retail,Single,"1,530",,TRUE,"1,530"
https://www.crexi.com/lease/properties/721365/california-1702-hwy-46-b,"1702 CA-46, Wasco, CA 93280",Kern County,Restaurant,Fast Food,Single,"4,379",,TRUE,"1,380"
https://www.crexi.com/lease/properties/966543/california-560-w-18th-st,"560 W 18th St # A, Merced, CA 95340",Merced,Restaurant,Sublease,Single,"14,047",,FALSE,"1,200"
https://www.crexi.com/lease/properties/935446/california-prime-little-italy-restaurant-spaces,"555 W Date St, San Diego, CA 92101",,Restaurant,Turnkey Restaurant,Multiple,,,FALSE,"1,646"
https://www.crexi.com/lease/properties/1017812/california-74225-b,"74225 CA-111, Palm Desert, CA 92260",,Restaurant,Restaurant,Multiple,"16,032",,FALSE,"7,500"
https://www.crexi.com/lease/properties/912812/california-previously-fosters-freeze,"11969 Hawthorne Blvd, Hawthorne, CA 90250",,Restaurant,,Single,720,,TRUE,720
https://www.crexi.com/lease/properties/1030704/california-west-sacramento-restaurant-pads,"4790 W Capitol Ave, West Sacramento, CA 95691",Yolo County,Restaurant,"Restaurant, Drive Thru, QSR",Multiple,"5,012",,FALSE,"5,012"
https://www.crexi.com/lease/properties/955469/california-2nd-gen-restaurant-space-available,"19200 Ventura Blvd, Los Angeles, CA 91356",Los Angeles County,Restaurant,"Freestanding, Retail",Single,,,FALSE,"1,265"
https://www.crexi.com/lease/properties/966557/california-560-w-18th-st-b,"560 W 18th St, Merced, CA 95340",Merced County,Restaurant,Quick Service Area,Multiple,"14,047",,FALSE,610
https://www.crexi.com/lease/properties/852657/california-unit-b,"625 E Artesia Blvd, Long Beach, CA 90805",,Restaurant,Retaurant,Multiple,"1,250",,FALSE,"1,250"
https://www.crexi.com/lease/properties/982217/california-former-kfc---visalia,"5143 W Walnut Ave, Visalia, CA 93277",Tulare County,Restaurant,Drive Thru,Single,"2,711",,FALSE,"2,711"
https://www.crexi.com/lease/properties/849120/california-154-s-e-st-a,"154 S E St, San Bernardino, CA 92401",,Restaurant,,Single,"3,000",,FALSE,"1,650"
https://www.crexi.com/lease/properties/973817/california-freestanding-second-generation-restaurant,"1180 Admiral Callaghan Ln, Vallejo, CA 94591",Solano County,Restaurant,"Fast Food, Quick Service",Single,"7,677",,FALSE,"7,677"
https://www.crexi.com/lease/properties/62472/california-524-union,"524 Union St, SF, CA 94133",,Restaurant,"retail, restaurant, event space, commercial kitchen",Multiple,0,,FALSE,"3,875"
https://www.crexi.com/lease/properties/991260/california-1530-j-street--the-elliott-building,"1530 J St, Sacramento, CA 95814",,Restaurant,"Retail, Second Generation",Multiple,"45,576",,FALSE,"6,057"
https://www.crexi.com/lease/properties/951174/california-685-cannery-row,"685 Cannery Row, Monterey, CA 93940",,Restaurant,Restaurant,Multiple,"4,016",,TRUE,"4,016"
https://www.crexi.com/lease/properties/1029247/california-925-3rd-street,"925 3rd St, Sacramento, CA 95814",Sacramento County,Restaurant,,Single,"5,247",,FALSE,"5,247"
https://www.crexi.com/lease/properties/872280/california-downtown-chico-restaurant,"229 Broadway St, Chico, CA 95928",,Restaurant,,Single,"6,005",,FALSE,"6,005"
https://www.crexi.com/lease/properties/965633/california-restaurant-space-with-i-69-visibility-for-lease,"8301 Eagle Lake Dr, Evansville, IN 47715",Vanderburgh County,Restaurant,Retail,Single,"6,365",,TRUE,"6,365"
https://www.crexi.com/lease/properties/989426/california-oceanside-2nd-gen-restaurant,"211 Mission Ave, Oceanside, CA 92054",,Restaurant,"Restaurant, Bar",Single,"99,999",,TRUE,"6,438"
https://www.crexi.com/lease/properties/297613/california-ariel-suites,"701 W Beech St, San Diego, CA 92101",San Diego County,"Restaurant, Office","Creative Office, Retail, Restaurant",Multiple,,,FALSE,"10,590"
https://www.crexi.com/lease/properties/720124/california-busy-road-frontage---previous-quiznos,"2701 Whitson St, Selma, CA 93662",,"Restaurant, Retail, Office","Traditional Office, Restaurant, Retail",Multiple,,,TRUE,"1,430"
https://www.crexi.com/lease/properties/206157/california-la-quinta-village-shopping-center,"50801 Washington St, La Quinta, CA 92253",,"Restaurant, Retail, Office","Medical Office, Outparcel/Pad, Strip Center",Multiple,"79,607",,FALSE,"39,432"
https://www.crexi.com/lease/properties/42068/california-brunswig-square,"360 E 2nd St, Los Angeles, CA 90012",,"Retail, Industrial, Restaurant","Warehouse, Distribution, Strip Center, retail",Multiple,"33,000",,FALSE,"5,494"
https://www.crexi.com/lease/properties/945746/california-1433-fulton-ave,"1433 Fulton Ave, Sacramento, CA 95825",Sacramento County,"Retail, Industrial, Restaurant",Warehouse,Multiple,"40,000",,FALSE,"7,050"
https://www.crexi.com/lease/properties/838777/california-26306-diamond-place,"26306 Diamond Pl, Santa Clarita, CA 91350",,"Retail, Industrial, Restaurant","restaurant, commercial kitchen",Multiple,"1,840",,TRUE,"1,840"
https://www.crexi.com/lease/properties/783768/california-nwc-inland-center-dr-i-st,"NWC Inland Center Dr & I St, San Bernardino, CA 92410",San Bernardino County,"Retail, Land, Restaurant","Commercial, Fast Food, Bank, Auto Shop",Multiple,"3,300",,FALSE,"3,300"
https://www.crexi.com/lease/properties/270861/california-slo-ranch-farms-and-marketplace,"Froom Ranch Way, San Luis Obispo, CA 93401",San Luis Obispo County,"Retail, Land, Restaurant","Agricultural, Commercial, Fitness, Retail, Distillery",Multiple,"33,500",,TRUE,"33,500"
https://www.crexi.com/lease/properties/750908/california-yucaipa-pointe,"NEQ I-10 & Yucaipa Blvd, Yucaipa, CA 92399",San Bernardino County,"Retail, Land, Restaurant","Commercial, C-Store",Multiple,"20,215",,FALSE,"7,364"
https://www.crexi.com/lease/properties/400074/california-gateway-plaza,"39200 Paseo Padre Pkwy, Fremont, CA 94538",Alameda County,"Retail, Land, Restaurant","Commercial, Retail Pad",Multiple,"192,104",,TRUE,"1,501"
https://www.crexi.com/lease/properties/990272/california-entitled-drive-true-bts-or-ground-lease,"33565 Mission Trail, Lake Elsinore, CA 92530",Riverside County,"Retail, Land, Restaurant","Commercial, Fast Food, QSR, Drive-Thru, Restaurant",Single,"2,298",,FALSE,"2,298"
https://www.crexi.com/lease/properties/260681/california-the-campus,"5962 La Place Ct, Carlsbad, CA 92008",San Diego County,"Retail, Office, Industrial, Restaurant","Executive Office, R&D, Creative Space, Fitness Center, Library",Multiple,"46,833",,TRUE,"6,896"
https://www.crexi.com/lease/properties/1040223/california-151-kalmus-drive-unit-k1,"151 Kalmus Drive, Unit K1, Costa Mesa, CA 92626",Orange County,"Retail, Office, Industrial, Restaurant",Flex,Single,"4,100",,TRUE,"4,100"
https://www.crexi.com/lease/properties/353962/california-century-plaza-towers---north-tower,"2029-2049 Century Park, Los Angeles, CA 90067",Los Angeles County,"Retail, Office, Land, Restaurant","Executive Office, Commercial, Professional, Mixed use",Multiple,"346,662",,TRUE,"346,662"
https://www.crexi.com/lease/properties/973733/california-327-s-broadway,"327 S Broadway, Los Angeles, CA 90013",Los Angeles County,"Retail, Office, Restaurant","Executive Office, Commercial",Multiple,"16,600",,FALSE,"15,000"
https://www.crexi.com/lease/properties/995800/dixon-landing-dixon-ca,"1450 ARY LANE, UNIT D, DIXON, CA 95620, Dixon, CA 95620",Solano County,"Retail, Office, Restaurant",Traditional Office,Multiple,"9,119",5,TRUE,"1,214"
https://www.crexi.com/lease/properties/474559/california-501-511-n-la-cienega,"501-511 N La Cienega Blvd, West Hollywood, CA 90048",Los Angeles County,"Retail, Office, Restaurant","Executive Office, Commercial",Multiple,"15,135",,TRUE,"15,135"
https://www.crexi.com/lease/properties/1024921/california-5550-w-pico-blvd,"5550 W Pico Blvd, Los Angeles, CA 90035",Los Angeles County,"Retail, Office, Restaurant",Medical Office,Single,"1,000",,FALSE,"1,000"
https://www.crexi.com/lease/properties/323780/california-cnr2oaks,"Twin Oaks Valley Rd & Highway 78, San Marcos, CA 92069",San Diego County,"Retail, Office, Restaurant","Executive Office, Commercial",Multiple,"24,880",,FALSE,"6,264"
https://www.crexi.com/lease/properties/477809/california-1111-s-hope-street,"1111 S Hope St, Los Angeles, CA 90015",Los Angeles County,"Retail, Office, Restaurant",Medical Office,Multiple,"6,200",,TRUE,"3,200"
https://www.crexi.com/lease/properties/915373/california-671-clay-street,"671 Clay Street, San Francisco, CA 94111",San Francisco County,"Retail, Office, Restaurant","Executive Office, Salon",Single,"3,000",,FALSE,"3,000"
https://www.crexi.com/lease/properties/370978/california-veterans-plaza,"NWC Van Buren Blvd. & I-215, Riverside, CA 92508",Riverside County,"Retail, Office, Restaurant","Executive Office, Commercial",Multiple,"219,695",,FALSE,"1,600"
https://www.crexi.com/lease/properties/870082/california-9212-olympic-blvd,"9212 Olympic Blvd, Beverly Hills, CA 90210",Los Angeles County,"Retail, Office, Restaurant","Executive Office, Commercial",Multiple,"60,000",,TRUE,"6,832"
https://www.crexi.com/lease/properties/985333/california-22772-22792-centre-drive,"22772 & 22792 Centre Drive, Lake Forest, CA 92630",Orange County,"Retail, Office, Restaurant","Executive Office, Commercial",Multiple,"18,948",,FALSE,"18,948"
https://www.crexi.com/lease/properties/1036071/california-10118-fair-oaks-blvd-fair-oaks-ca-95628,"10118 Fair Oaks Blvd, Fair Oaks, CA 95628",,"Retail, Office, Restaurant",Traditional Office,Single,"1,656",,FALSE,"1,656"
https://www.crexi.com/lease/properties/702531/california-1231-third-st,"1231 3rd Street Promenade, Santa Monica, CA 90401",Los Angeles County,"Retail, Office, Restaurant","Executive Office, Gym",Multiple,"40,000",,TRUE,"40,000"
https://www.crexi.com/lease/properties/531429/california-6730-rosemead-blvd,"6730 Rosemead Blvd, Pico Rivera, CA 90660",Los Angeles County,"Retail, Office, Restaurant","Medical Office, Commercial",Single,"4,226",,TRUE,"4,226"
https://www.crexi.com/lease/properties/810330/california-4242-s-crenshaw-blvd,"4242 S Crenshaw Blvd, Los Angeles, CA 90008",Los Angeles County,"Retail, Office, Restaurant",Medical Office,Multiple,"6,000",,TRUE,"6,000"
https://www.crexi.com/lease/properties/521118/california-moorpark-campus-plaza,"6591-6599 Collins Drive, Moorpark, CA 93021",Ventura County,"Retail, Office, Restaurant","Traditional Office, Executive Office, Medical Office, Creative Office, Commercial, bar, food, office",Multiple,"50,000",,TRUE,"1,938"
https://www.crexi.com/lease/properties/1000543/california-3630-park-sierra-dr,"3630 Park Sierra Dr, Riverside, CA 92505",Riverside County,"Retail, Office, Restaurant","Executive Office, Commercial, Freestanding",Multiple,"7,693",,TRUE,"7,693"
https://www.crexi.com/lease/properties/715661/virginia-98-stilwell-drive,"98 General Stilwell Dr, Marina, CA 93933",Monterey County,"Retail, Office, Restaurant","Medical Office, Commerical",Multiple,"16,094",,FALSE,"16,094"
https://www.crexi.com/lease/properties/987309/california-2031-k-st,"2031 K St, Sacramento, CA 95811",Sacramento County,"Retail, Office, Restaurant",Executive Office,Multiple,"26,660",,TRUE,"26,660"
